# C-11 standard atmosphere (Data loaded from a file)
# 285 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,512,0,0,0,0,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,0,0,0,1.069,0.93,0.019,0.12,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,0,4.6,20,0.01,0.007,0
0.01,0,512,0,0,0,0,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,0.498,0.306,0,1.069,0.93,0.019,0.12,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,0,4.6,20,0.01,0.013,0
0.02,0,512,0,0,0,0,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,0.995,0.612,0,1.069,0.93,0.019,0.12,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,0,4.6,20,0.01,0.017,0
0.03,0,512,0,0,0,0,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,1.493,0.918,0,1.069,0.93,0.019,0.12,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,0,4.6,20,0.004,0.021,0
0.034,0,512,0.00027,0.00027,0.398,0.398,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,1.692,1.041,0,1.082,0.93,0.032,0.12,1.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,10.344,4.6,20,0.006,0.025,0
0.04,0.00002,512,0.01,0.01,2.76,2.76,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,2.084,1.282,0,1.473,0.93,0.423,0.12,1.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.00003,379.897,4.6,20,0.009,0.032,0
0.049,0.00027,512,0.051,0.051,6.305,6.305,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,2.672,1.644,0,1.326,0.93,0.276,0.12,1.326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.00015,1971.154,4.6,20,0.01,0.037,0
0.059,0.001,512.001,0.133,0.133,10.245,10.245,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,3.325,2.046,0.00002,1.131,0.93,0.081,0.12,1.131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.00039,5199.152,4.6,20,0.007,0.042,0
0.066,0.002,512.002,0.215,0.215,13.004,13.004,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,3.782,2.328,0.00005,1.109,0.93,0.059,0.12,1.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.00063,8373.455,4.6,20,0.01,0.048,0
0.076,0.005,512.005,0.373,0.373,18.581,18.581,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,4.705,2.897,0.00013,0.982,0.816,0.046,0.12,0.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.001,14530,4.6,20,0.01,0.051,0
0.086,0.01,512.01,0.586,0.586,24.162,24.162,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,5.628,3.467,0.00028,0.863,0.703,0.04,0.12,0.863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.002,22870,4.6,20,0.01,0.057,0
0.096,0.017,512.017,0.856,0.856,29.748,29.748,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,6.551,4.037,0.00055,0.782,0.626,0.036,0.12,0.782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.003,33390,4.6,20,0.011,0.062,0
# Event LIFTOFF occurred at t=0.107 seconds
0.107,0.029,512.029,1.217,1.217,35.897,35.897,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,7.566,4.665,0.001,0.718,0.565,0.034,0.12,0.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.004,47470,4.6,20,0.01,0.066,0
0.117,0.043,512.043,1.603,1.603,41.304,41.304,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,35,0.005,0.00008,9.795,NaN,35.7,NaN,8.455,5.218,0.002,0.675,0.523,0.032,0.12,0.675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.005,62530,4.6,20,0.01,0.07,0
0.127,0.061,512.061,2.043,2.043,46.719,46.719,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,35,0.005,0.00008,9.795,NaN,35.7,NaN,9.345,5.771,0.003,0.641,0.49,0.031,0.12,0.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.006,79700,4.6,20,0.01,0.086,0
0.137,0.084,512.084,2.537,2.537,52.139,52.139,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,10.234,6.325,0.004,0.613,0.463,0.03,0.12,0.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.3,0.00117,338.372,0.007,98980,4.6,20,0.008,0.1,0
0.145,0.106,512.106,2.972,2.972,56.48,56.48,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,10.946,6.769,0.005,0.594,0.445,0.03,0.12,0.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.3,0.00117,338.372,0.009,115900,4.6,20,0.01,0.103,0
0.155,0.138,512.138,3.568,3.568,62.74,62.74,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,11.969,7.41,0.007,0.574,0.425,0.029,0.12,0.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.3,0.00117,338.372,0.011,139200,4.6,20,0.01,0.106,0
0.165,0.177,512.177,4.227,4.227,69.01,69.01,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,12.991,8.051,0.009,0.556,0.407,0.029,0.12,0.556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.2,0.00117,338.371,0.012,164900,4.6,20,0.01,0.109,0
0.175,0.223,512.223,4.948,4.948,75.289,75.289,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,14.014,8.694,0.013,0.541,0.392,0.028,0.12,0.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.2,0.00117,338.371,0.015,193000,4.6,20,0.008,0.111,0
0.183,0.265,512.265,5.57,5.57,80.319,80.319,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,164,34,0.005,0.00008,9.795,NaN,35.6,NaN,14.832,9.21,0.016,0.53,0.382,0.028,0.12,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.67,953.2,0.00117,338.371,0.016,217300,4.6,20,0.01,0.113,0
0.193,0.325,512.325,6.402,6.402,85.887,85.887,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,164,33,0.005,0.00008,9.795,NaN,35.5,NaN,15.731,9.781,0.02,0.517,0.37,0.028,0.12,0.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.67,953.2,0.00117,338.371,0.019,249700,4.6,20,0.01,0.116,0
0.203,0.393,512.393,7.288,7.288,91.464,91.464,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,164,33,0.005,0.00008,9.795,NaN,35.5,NaN,16.629,10.354,0.026,0.506,0.359,0.028,0.12,0.506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.669,953.2,0.00117,338.371,0.022,284300,4.6,20,0.011,0.12,0
