time,state,state_name,acceleration,pressure,altitude,height,speed,temperature
-0.62,3,boost,9.10,95316.00,512.66,5.16,15.77,23.7
-0.61,3,boost,9.56,95312.00,513.01,5.51,15.97,23.7
-0.60,3,boost,10.04,95314.00,512.84,5.33,16.16,23.7
-0.59,3,boost,10.53,95310.00,513.19,5.68,16.36,23.7
-0.58,3,boost,11.03,95308.00,513.36,5.86,16.56,23.7
-0.57,3,boost,11.54,95304.00,513.71,6.21,16.76,23.7
-0.56,3,boost,12.07,95300.00,514.06,6.56,16.96,23.7
-0.55,3,boost,12.60,95293.00,514.67,7.17,17.16,23.7
-0.54,3,boost,13.15,95292.00,514.76,7.26,17.37,23.7
-0.53,3,boost,13.69,95293.00,514.67,7.17,17.57,23.7
-0.52,3,boost,14.25,95289.00,515.02,7.52,17.78,23.7
-0.51,3,boost,14.80,95284.00,515.46,7.96,17.99,23.7
-0.50,3,boost,15.35,95281.00,515.72,8.22,18.20,23.7
-0.49,3,boost,15.90,95277.00,516.07,8.57,18.41,23.7
-0.48,3,boost,16.44,95270.00,516.68,9.18,18.62,23.7
-0.47,3,boost,16.97,95273.00,516.42,8.92,18.84,23.7
-0.46,3,boost,17.49,95264.00,517.21,9.71,19.05,23.7
-0.45,3,boost,17.99,95262.00,517.38,9.88,19.27,23.7
-0.44,3,boost,18.48,95257.00,517.82,10.32,19.48,23.7
-0.43,3,boost,18.94,95246.00,518.79,11.28,19.70,23.7
-0.42,3,boost,19.38,95251.00,518.35,10.85,19.92,23.7
-0.41,3,boost,19.79,95241.00,519.22,11.72,20.14,23.7
-0.40,3,boost,20.17,95237.00,519.57,12.07,20.36,23.7
-0.39,3,boost,20.52,95235.00,519.75,12.25,20.58,23.7
-0.38,3,boost,20.84,95230.00,520.19,12.68,20.80,23.7
-0.37,3,boost,21.13,95225.00,520.62,13.12,21.03,23.7
-0.36,3,boost,21.38,95225.00,520.62,13.12,21.25,23.7
-0.35,3,boost,21.60,95221.00,520.97,13.47,21.48,23.7
-0.34,3,boost,21.78,95214.00,521.59,14.08,21.70,23.7
-0.33,3,boost,21.93,95213.00,521.67,14.17,21.93,23.7
-0.32,3,boost,22.05,95204.00,522.46,14.96,22.15,23.7
-0.31,3,boost,22.14,95200.00,522.81,15.31,22.38,23.7
-0.30,3,boost,22.20,95200.00,522.81,15.31,22.61,23.7
-0.29,3,boost,22.23,95198.00,522.99,15.49,22.83,23.7
-0.28,3,boost,22.24,95194.00,523.34,15.84,23.06,23.7
-0.27,3,boost,22.22,95187.00,523.95,16.45,23.29,23.7
-0.26,3,boost,22.19,95183.00,524.30,16.80,23.52,23.7
-0.25,3,boost,22.13,95175.00,525.00,17.50,23.75,23.7
-0.24,3,boost,22.07,95173.00,525.18,17.67,23.97,23.7
-0.23,3,boost,21.99,95165.00,525.88,18.38,24.20,23.7
-0.22,3,boost,21.90,95166.00,525.79,18.29,24.43,23.7
-0.21,3,boost,21.80,95161.00,526.23,18.73,24.66,23.7
-0.20,3,boost,21.70,95155.00,526.75,19.25,24.88,23.7
-0.19,3,boost,21.59,95151.00,527.10,19.60,25.11,23.7
-0.18,3,boost,21.48,95147.00,527.45,19.95,25.34,23.7
-0.17,3,boost,21.37,95144.00,527.72,20.21,25.56,23.7
-0.16,3,boost,21.26,95139.00,528.15,20.65,25.79,23.7
-0.15,3,boost,21.15,95140.00,528.07,20.56,26.01,23.7
-0.14,3,boost,21.03,95129.00,529.03,21.53,26.24,23.7
-0.13,3,boost,20.92,95123.00,529.56,22.05,26.46,23.7
-0.12,3,boost,20.81,95127.00,529.21,21.70,26.68,23.7
-0.11,3,boost,20.69,95118.00,529.99,22.49,26.90,23.7
-0.10,3,boost,20.57,95110.00,530.69,23.19,27.12,23.7
-0.09,3,boost,20.44,95110.00,530.69,23.19,27.34,23.7
-0.08,3,boost,20.30,95100.00,531.57,24.07,27.56,23.7
-0.07,3,boost,20.15,95099.00,531.66,24.16,27.77,23.7
-0.06,3,boost,19.99,95094.00,532.10,24.60,27.99,23.7
-0.05,3,boost,19.83,95086.00,532.80,25.30,28.20,23.7
-0.04,3,boost,19.66,95080.00,533.32,25.82,28.41,23.7
-0.03,3,boost,19.48,95079.00,533.41,25.91,28.62,23.7
-0.02,3,boost,19.30,95077.00,533.59,26.09,28.83,23.7
-0.01,3,boost,19.11,95070.00,534.20,26.70,29.04,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.00,3,boost,18.91,95061.00,534.99,27.49,29.24,23.7
0.01,3,boost,18.70,95061.00,534.99,27.49,29.44,23.7
0.01,3,boost,18.70,95061.00,534.99,27.49,29.44,23.7
0.02,3,boost,18.48,95054.00,535.60,28.10,29.64,23.7
0.03,3,boost,18.26,95045.00,536.39,28.89,29.84,23.7
0.04,3,boost,18.04,95039.00,536.92,29.42,30.04,23.7
0.05,3,boost,17.80,95037.00,537.09,29.59,30.23,23.7
0.06,3,boost,17.56,95032.00,537.53,30.03,30.42,23.7
0.07,3,boost,17.31,95027.00,537.97,30.47,30.61,23.7
0.08,3,boost,17.05,95023.00,538.32,30.82,30.79,23.7
0.09,3,boost,16.79,95018.00,538.76,31.26,30.97,23.7
0.10,3,boost,16.52,95014.00,539.11,31.61,31.15,23.7
0.11,3,boost,16.25,95014.00,539.11,31.61,31.33,23.7
0.12,3,boost,15.96,95009.00,539.55,32.05,31.50,23.7
0.13,3,boost,15.68,95009.00,539.55,32.05,31.68,23.7
0.14,3,boost,15.38,94999.00,540.43,32.92,31.84,23.7
0.15,3,boost,15.08,94992.00,541.04,33.54,32.01,23.7
0.16,3,boost,14.78,94989.00,541.30,33.80,32.17,23.7
0.17,3,boost,14.47,94980.00,542.09,34.59,32.33,23.7
0.18,3,boost,14.15,94976.00,542.44,34.94,32.48,23.7
0.19,3,boost,13.83,94969.00,543.06,35.56,32.63,23.7
0.20,3,boost,13.50,94964.00,543.50,35.99,32.78,23.7
0.21,3,boost,13.17,94966.00,543.32,35.82,32.92,23.7
0.22,3,boost,12.84,94956.00,544.20,36.70,33.06,23.7
0.23,3,boost,12.50,94950.00,544.72,37.22,33.20,23.7
0.24,3,boost,12.15,94950.00,544.72,37.22,33.33,23.7
0.25,3,boost,11.80,94944.00,545.25,37.75,33.46,23.7
0.26,3,boost,11.45,94938.00,545.78,38.27,33.59,23.7
0.27,3,boost,11.09,94932.00,546.30,38.80,33.71,23.7
0.28,3,boost,10.73,94927.00,546.74,39.24,33.83,23.7
0.29,3,boost,10.37,94928.00,546.65,39.15,33.94,23.7
0.30,3,boost,10.01,94915.00,547.79,40.29,34.05,23.7
0.31,3,boost,9.64,94915.00,547.79,40.29,34.15,23.7
0.32,3,boost,9.27,94905.00,548.67,41.17,34.26,23.7
0.33,3,boost,8.89,94903.00,548.85,41.35,34.35,23.7
0.34,3,boost,8.52,94899.00,549.20,41.70,34.44,23.7
0.35,3,boost,8.14,94899.00,549.20,41.70,34.53,23.7
0.36,3,boost,7.76,94888.00,550.16,42.66,34.62,23.7
0.37,3,boost,7.39,94887.00,550.25,42.75,34.70,23.7
0.38,3,boost,7.01,94882.00,550.69,43.19,34.77,23.7
0.39,3,boost,6.62,94879.00,550.95,43.45,34.84,23.7
0.40,3,boost,6.24,94869.00,551.83,44.33,34.91,23.7
0.41,3,boost,5.86,94867.00,552.01,44.51,34.97,23.7
0.42,3,boost,5.48,94863.00,552.36,44.86,35.03,23.7
0.43,3,boost,5.10,94852.00,553.33,45.82,35.09,23.7
0.44,3,boost,4.72,94851.00,553.41,45.91,35.13,23.7
0.45,3,boost,4.34,94845.00,553.94,46.44,35.18,23.7
0.46,3,boost,3.96,94845.00,553.94,46.44,35.22,23.7
0.47,3,boost,3.59,94837.00,554.64,47.14,35.26,23.7
0.48,3,boost,3.21,94832.00,555.08,47.58,35.29,23.7
0.49,3,boost,2.84,94834.00,554.91,47.40,35.32,23.7
0.50,3,boost,2.46,94826.00,555.61,48.11,35.34,23.7
0.51,3,boost,2.10,94822.00,555.96,48.46,35.36,23.7
0.52,3,boost,1.73,94819.00,556.22,48.72,35.38,23.7
0.53,3,boost,1.36,94812.00,556.84,49.34,35.39,23.7
0.54,3,boost,1.00,94806.00,557.37,49.86,35.40,23.7
0.55,3,boost,0.65,94801.00,557.80,50.30,35.40,23.7
0.56,3,boost,0.29,94806.00,557.37,49.86,35.40,23.7
0.57,3,boost,-0.06,94806.00,557.37,49.86,35.40,23.7
0.58,3,boost,-0.41,94796.00,558.24,50.74,35.39,23.7
0.59,3,boost,-0.75,94785.00,559.21,51.71,35.38,23.7
0.60,3,boost,-1.09,94782.00,559.47,51.97,35.37,23.7
0.61,3,boost,-1.42,94772.00,560.35,52.85,35.35,23.7
0.62,3,boost,-1.75,94778.00,559.83,52.32,35.32,23.7
0.63,3,boost,-2.07,94767.00,560.79,53.29,35.30,23.7
0.64,3,boost,-2.39,94762.00,561.23,53.73,35.27,23.7
0.65,3,boost,-2.71,94760.00,561.41,53.91,35.23,23.7
0.66,3,boost,-3.02,94758.00,561.58,54.08,35.20,23.7
0.67,3,boost,-3.32,94754.00,561.93,54.43,35.16,23.7
0.68,3,boost,-3.62,94754.00,561.93,54.43,35.11,23.7
0.69,3,boost,-3.91,94745.00,562.73,55.22,35.07,23.7
0.70,3,boost,-4.20,94740.00,563.17,55.66,35.02,23.7
0.71,3,boost,-4.48,94732.00,563.87,56.37,34.96,23.7
0.72,3,boost,-4.76,94731.00,563.96,56.45,34.91,23.7
0.73,3,boost,-5.02,94726.00,564.40,56.89,34.85,23.7
0.74,3,boost,-5.29,94720.00,564.92,57.42,34.79,23.7
0.75,3,boost,-5.54,94723.00,564.66,57.16,34.72,23.7
0.76,3,boost,-5.79,94719.00,565.01,57.51,34.66,23.7
0.77,3,boost,-6.04,94701.00,566.59,59.09,34.59,23.7
0.78,3,boost,-6.27,94708.00,565.98,58.48,34.51,23.7
0.79,3,boost,-6.50,94708.00,565.98,58.48,34.44,23.7
0.80,3,boost,-6.73,94704.00,566.33,58.83,34.36,23.7
0.81,3,boost,-6.95,94692.00,567.39,59.88,34.28,23.7
0.82,3,boost,-7.16,94693.00,567.30,59.80,34.20,23.7
0.83,3,boost,-7.36,94688.00,567.74,60.24,34.12,23.7
0.84,3,boost,-7.56,94679.00,568.53,61.03,34.03,23.7
0.85,3,boost,-7.75,94680.00,568.44,60.94,33.94,23.7
0.86,3,boost,-7.93,94674.00,568.97,61.47,33.85,23.7
0.87,3,boost,-8.11,94671.00,569.23,61.73,33.76,23.7
0.88,3,boost,-8.28,94669.00,569.41,61.91,33.67,23.7
0.89,3,boost,-8.45,94660.00,570.20,62.70,33.58,23.7
0.90,3,boost,-8.61,94660.00,570.20,62.70,33.48,23.7
0.91,3,boost,-8.76,94656.00,570.55,63.05,33.38,23.7
0.92,3,boost,-8.90,94654.00,570.73,63.23,33.28,23.7
0.93,3,boost,-9.04,94652.00,570.90,63.40,33.18,23.7
0.94,3,boost,-9.18,94641.00,571.87,64.37,33.08,23.7
0.95,3,boost,-9.30,94643.00,571.69,64.19,32.98,23.7
0.96,3,boost,-9.42,94638.00,572.13,64.63,32.87,23.7
0.97,3,boost,-9.54,94633.00,572.57,65.07,32.77,23.7
0.98,3,boost,-9.65,94629.00,572.93,65.42,32.66,23.7
0.99,3,boost,-9.75,94630.00,572.84,65.34,32.56,23.7
1.00,3,boost,-9.85,94621.00,573.63,66.13,32.45,23.7
1.01,3,boost,-9.94,94621.00,573.63,66.13,32.34,23.7
1.02,3,boost,-10.03,94616.00,574.07,66.57,32.23,23.7
1.03,3,boost,-10.11,94608.00,574.77,67.27,32.12,23.7
1.04,3,boost,-10.19,94604.00,575.13,67.62,32.01,23.7
1.05,3,boost,-10.26,94600.00,575.48,67.98,31.90,23.7
1.06,3,boost,-10.33,94594.00,576.01,68.50,31.79,23.7
1.07,3,boost,-10.39,94598.00,575.65,68.15,31.68,23.7
1.08,3,boost,-10.45,94587.00,576.62,69.12,31.57,23.7
1.09,3,boost,-10.50,94588.00,576.53,69.03,31.46,23.7
1.10,3,boost,-10.55,94585.00,576.80,69.30,31.34,23.7
1.11,3,boost,-10.60,94581.00,577.15,69.65,31.23,23.7
1.12,3,boost,-10.64,94581.00,577.15,69.65,31.12,23.7
1.13,3,boost,-10.68,94575.00,577.68,70.18,31.01,23.7
1.14,3,boost,-10.72,94566.00,578.47,70.97,30.89,23.7
1.15,3,boost,-10.75,94569.00,578.21,70.71,30.78,23.7
1.16,3,boost,-10.78,94556.00,579.35,71.85,30.67,23.7
1.17,3,boost,-10.81,94557.00,579.26,71.76,30.55,23.7
1.18,3,boost,-10.83,94555.00,579.44,71.94,30.44,23.7
1.19,3,boost,-10.86,94552.00,579.70,72.20,30.33,23.7
1.20,3,boost,-10.88,94550.00,579.88,72.38,30.22,23.7
1.21,3,boost,-10.89,94544.00,580.41,72.91,30.10,23.7
1.22,3,boost,-10.91,94539.00,580.85,73.35,29.99,23.7
1.23,3,boost,-10.92,94539.00,580.85,73.35,29.88,23.7
1.24,3,boost,-10.94,94532.00,581.46,73.96,29.77,23.7
1.25,3,boost,-10.95,94535.00,581.20,73.70,29.66,23.7
