time,state,state_name,source,pressure,altitude,height,acceleration,speed
0.00,3,ignition,synthetic,,532.00,0.00,0.00,0.00
0.01,3,boost,synthetic,,532.00,0.00,0.97,0.00
0.02,3,boost,synthetic,,532.00,0.00,1.94,0.02
0.03,3,boost,synthetic,,532.00,0.00,2.91,0.04
0.04,3,boost,synthetic,,532.00,0.00,3.88,0.08
0.05,3,boost,synthetic,,532.00,0.00,4.85,0.12
0.06,3,boost,synthetic,,532.00,0.00,5.82,0.17
0.07,3,boost,synthetic,,532.01,0.01,6.79,0.24
0.08,3,boost,synthetic,,532.01,0.01,7.77,0.31
0.09,3,boost,synthetic,,532.01,0.01,8.74,0.39
0.10,3,boost,synthetic,,532.02,0.02,9.71,0.49
0.11,3,boost,synthetic,,532.02,0.02,10.68,0.59
0.12,3,boost,synthetic,,532.03,0.03,11.65,0.70
0.13,3,boost,synthetic,,532.04,0.04,12.62,0.82
0.14,3,boost,synthetic,,532.04,0.04,13.59,0.95
0.15,3,boost,synthetic,,532.05,0.05,14.56,1.09
0.16,3,boost,synthetic,,532.07,0.07,15.53,1.24
0.17,3,boost,synthetic,,532.08,0.08,16.50,1.40
0.18,3,boost,synthetic,,532.09,0.09,17.47,1.57
0.19,3,boost,synthetic,,532.11,0.11,18.44,1.75
0.20,3,boost,synthetic,,532.13,0.13,19.41,1.94
0.21,3,boost,synthetic,,532.15,0.15,20.38,2.14
0.22,3,boost,synthetic,,532.17,0.17,21.36,2.35
0.23,3,boost,synthetic,,532.20,0.20,22.33,2.57
0.24,3,boost,synthetic,,532.22,0.22,23.30,2.80
0.25,3,boost,synthetic,,532.25,0.25,24.27,3.03
0.26,3,boost,synthetic,,532.28,0.28,25.24,3.28
0.27,3,boost,synthetic,,532.32,0.32,26.21,3.54
0.28,3,boost,synthetic,,532.36,0.36,27.18,3.81
0.29,3,boost,synthetic,,532.39,0.39,28.15,4.08
0.30,3,boost,synthetic,,532.44,0.44,29.12,4.37
0.31,3,boost,synthetic,,532.48,0.48,30.09,4.66
0.32,3,boost,synthetic,,532.53,0.53,31.06,4.97
0.33,3,boost,synthetic,,532.58,0.58,32.03,5.29
0.34,3,boost,synthetic,,532.64,0.64,33.00,5.61
0.35,3,boost,synthetic,,532.69,0.69,33.97,5.95
0.36,3,boost,synthetic,,532.75,0.75,34.94,6.29
